лук	onion
маргари́н	margarine
мáсло	"butter, oil"
расти́телное мáсло	vegetable oil
молокó	milk
моркóвь (f. collect.)	carrot
морóженое (subst. adj.)	ice cream
мя́со	meat
óвощи (pl.)	vegetables
огурéц (pl. огурцы́)	cucumber
пи́во	beer
плов	pilaf
помидóр	tomato
проду́кты (pl.)	produce
пти́ца	"bird, poultry"
рис	rice
ры́ба	fish
салáт	salad
сметáна	sour cream
сок	juice
сыр	cheese
торт	cake
фрукт	fruit
хлеб	bread
чай	tea
шампáнское (subst. adj.)	champagne
шоколáд	chocolate
я́блоко (pl. я́блоки)	apple
яйцó (pl. я́йца)	egg
ларёк (pl. ларьки́)	kiosk
кулинари́я	delicatessen
супермáркет	supermarket
гастронóм	food store
ры́нок (на ры́нке)	farmer's market
бáнка	"can, jar"
буты́лка	bottle
бухáнка	loaf
грамм	gram
килогрáмм	kilogram
корóбка	box
кусóк	piece
литр	liter
пакéт	carton
пáчка	package
полкилó	half a kilo
пол-ли́тра	half a liter
аллерги́я	allergy
вéник	broom
дéвушка	"young woman, girl"
дéньги (pl. only)	money
дóллар	dollar
копéйка	kopeck
кофевáрка	coffeemaker
креди́тная кáрточка	credit card
микроволнóвая печь	microwave oven
морози́льник	freezer
напи́ток (pl. напи́тки)	drink
плитá	stove
посудомóечная маши́на	dishwasher
пылéсос	vacuum cleaner
ру́бль (m.)	ruble
совóк	dustpan
стирáльная маши́на	(clothes) washer
тóстер	toaster
холоди́льник	refrigerator
цент	cent
чáйник	teakettle
человéк	person
молодóй человéк	young man
апельси́новый	orange (fruit) (adj.)
грузи́нский	Georgian (country)
дешёвый	"cheap, cheaper"
"дорогóй, дорóже"	"expensive, more expensive"
колумби́йский	Colombian
минерáлный	mineral (adj.)
молóчный	"milk, milky"
молóчные проду́кты	dairy produce
слáдкий	sweet
стекля́нный	glass (adj.)
швéдский	Swedish
бóльше	more
дёшево	cheap
дóрого	expensive (adv.)
достáточно	enough
мáло	little
мéньше	less
мнóго	a lot
навéрно(е)	probably (adv.)
нáдо	"must, need"
ну́жно	need
скóлько	how much
сли́шком	"too (much, etc.)"
тогдá	"then, in that case"
взять (I)	to take (pf)
есть	to eat
купи́ть (II)	to buy (pf.)
пить (I)	to drink
прода|вáть (I)	to sell
стóить	to cost
нарéзать	to slice
плати́ть	to pay (with cash)
на вся́кий слу́чай	just in case
*** Chapter 12 (/course/1296376/troika-all-vocab/12/)	
билéт	ticket
боеви́к	action film
буди́льник	alarm clock
вход	entrance
вы́ставка	exhibit
канáл	channel
кáсса	box office
катóк	skating rink
клуб	club
концéрт	concert
матч	game (sports event)
мину́та	minute
мину́т(оч)ка (dim.)	minute (dim.)
передáча	TV or radio broadcast
пéсня	song
полчасá	half an hour
портфéль	briefcase
приглашéние	invitation
прогрáмма	program
реферáт	"report, paper"
сеáнс	show (in movie theaters)
спи́сок	list
су́мка	"bag, purse"
глáвный	main
домáшний	home (adj.)
ли́шний	extra
театрáльный	theater (adj.)
дóлго	for a long time
ещё	still
ещё не	not yet
никáк	no way
ти́хо	quietly (adv.)
тогдá	"then, in that case"
тóчно	exactly
ужé	already
"весь, вся, всё, все"	all
весь день	all day
"ему́, ей"	"him, her (indirect object)"
тебé	you (indirect object)
что-нибудь	something
за (+acc.)	"in, within (a period of time)"
пóсле (+gen.)	after
у (+gen.)	"by, at"
брать	to take (imf)
ви́деть (II)	to see
встречá|ть(ся) (I)	to meet
встрéтимся	let's meet
готóв|ить (II)	"to prepare (dinner, etc.)"
готóв|иться	to prepare for an exam
"да|вáть, *дать"	to give
дéла|ть	to do
éхать (I)	"to go, travel*"
зáвтрака|ть (I)	to eat breakfast
закáнчива|ться	to end
звон|и́ть	to call on the telephone
класть	(imperf.) to put
купи́ть (II)	to buy (pf.)
мочь	to be able to
мыть	to wash
начáть	to begin (to do something)
начинá|ться (I)	to begin
обéда|ть (I)	to eat lunch/dinner
опáздывать (I)	to be late (for)
отвечá|ть (I)	to answer
отдыхá|ть (I)	to rest
открывáть (I)	to open (impf)
передáть	"to convey, pass"
петь (I)	to sing
писáть (I)	to write
пить (I)	to drink
поéхать (I)	"to go, leave (by vehicle)"
пойти́	"to go, leave (on foot)"
позови́те	call!
покáзывать	to show
покупáть	to buy (impf.)
положи́ть (II)	to put
получá|ть (I)	to receive
приглашáть	to invite
прийти́	to arrive (on foot)
принимá|ть (I)	to take (e.g. a shower)
просну́ться	to wake up
сдавáть	to take (an exam)
сдать	to pass (an exam)
смотр|éть (II)	"to watch, look"
стирá|ть (I)	to do laundry
танц|евá|ть (I)	to dance
убирá|ть (I)	to clean
у́жина|ть (I)	to eat supper
узнáть (I)	"to recognize, find out"
улыбáться	to smile
хотéть	to want
читá|ть (I)	to read
Всегó хорошéго!	All the best!
давáй пойдём/поéдем	let's go
давáй посмóтрим	let's watch
договори́лись	agreed
зá город	out of town
к сожалéнию	unfortunately
лáдно	all right
мне нáдо	I have to
Молодéц!	Well done!
нé за что	"you are welcome, don't mention it"
прóдан	sold out
с удовóльствием	with pleasure
со мнóй	with me
я устáл(/а)	I was tired
*** Chapter 13 (/course/1296376/troika-all-vocab/13/)	
галстук	necktie
духи́	perfume
игру́шка	toy
кольцó (pl. кóльца)	ring
ку́кла	doll
ми́шка m.	teddy bear
"подáрок, pl. подáрки"	"gift, present"
самолёт	airplane
